0.00,13.26
118.00,319.75
115.00,311.96
116.00,314.56
113.00,306.77
103.00,280.79
100.00,273.00
119.00,322.35
121.00,327.55
106.00,288.58
103.00,280.79
119.00,322.35
122.00,330.14
105.00,285.99
104.00,283.39
106.00,288.58
117.00,317.16
112.00,304.17
104.00,283.39
111.00,301.57
115.00,311.96
105.00,285.99
113.00,306.77
100.00,273.00
114.00,309.36
112.00,304.17
100.00,273.00
112.00,304.17
100.00,273.00
115.00,311.96
107.00,291.18
109.00,296.38
114.00,309.36
114.00,309.36
110.00,298.97
102.00,278.19
121.00,327.55
107.00,291.18
122.00,330.14
105.00,285.99
107.00,291.18
111.00,301.57
120.00,324.95
110.00,298.97
110.00,298.97
121.00,327.55
119.00,322.35
117.00,317.16
116.00,314.56
115.00,311.96
100.00,273.00
117.00,317.16
116.00,314.56
122.00,330.14
115.00,311.96
101.00,275.60
107.00,291.18
104.00,283.39
110.00,298.97
107.00,291.18
100.00,273.00
